,project_name,db_name,activity_id,activity_name,activity_unit,activity_location,impact_method,impact_category,impact_indicator,sub_activity_id,sub_activity,sub_activity_unit,sub_activity_location,value,percentage,total_impact,exchange_type,compartment,sub_compartment,production_amount,production_unit,production_location,activity_categories
0,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '20a0bb96648ef4c27b2913e13142dda9')",market for NMC111 hydroxide,kilogram,CN,0.022405337625573885,93.87198984447546,0.02386796920220231,technosphere,,,1.0,kilogram,CN,
1,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '29efbc51f88f985a1c665df2bd11a18f')",market for lithium carbonate,kilogram,GLO,0.0011669048975357424,4.88899951080912,0.02386796920220231,technosphere,,,1.0,kilogram,CN,
2,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', 'd3521a7d35654a829c7d1265c2732fa5')","market group for electricity, medium voltage",kilowatt hour,CHA,0.00023262691601360925,0.9746405906713866,0.02386796920220231,technosphere,,,1.0,kilogram,CN,
3,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,6.309976307907131e-05,0.26437005404401587,0.02386796920220231,technosphere,,,1.0,kilogram,CN,
4,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil",kilogram,,0.0,0.0,0.02386796920220231,biosphere,air,,1.0,kilogram,CN,
5,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),terrestrial ecotoxicity,TETPinf,"('biosphere3', '09872080-d143-4fb1-a3a5-647b077107ff')",Water,cubic meter,,0.0,0.0,0.02386796920220231,biosphere,air,non-urban air or from high stacks,1.0,kilogram,CN,
6,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '20a0bb96648ef4c27b2913e13142dda9')",market for NMC111 hydroxide,kilogram,CN,0.0052706375581912535,90.30647304491308,0.005836389552684613,technosphere,,,1.0,kilogram,CN,
7,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '29efbc51f88f985a1c665df2bd11a18f')",market for lithium carbonate,kilogram,GLO,0.00041521084196635737,7.1141728669459585,0.005836389552684613,technosphere,,,1.0,kilogram,CN,
8,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', 'd3521a7d35654a829c7d1265c2732fa5')","market group for electricity, medium voltage",kilowatt hour,CHA,0.00011567579338703758,1.9819751979000308,0.005836389552684613,technosphere,,,1.0,kilogram,CN,
9,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', 'bbec888be3ba3103fb7fdef5344a5304')","market for chemical factory, organics",unit,GLO,3.4865359139965704e-05,0.5973788902409435,0.005836389552684613,technosphere,,,1.0,kilogram,CN,
10,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')","Carbon dioxide, fossil",kilogram,,0.0,0.0,0.005836389552684613,biosphere,air,,1.0,kilogram,CN,
11,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),natural land transformation,NLTP,"('biosphere3', '09872080-d143-4fb1-a3a5-647b077107ff')",Water,cubic meter,,0.0,0.0,0.005836389552684613,biosphere,air,non-urban air or from high stacks,1.0,kilogram,CN,
12,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '20a0bb96648ef4c27b2913e13142dda9')",market for NMC111 hydroxide,kilogram,CN,0.055968691258369896,80.50495192586612,0.0695220479231008,technosphere,,,1.0,kilogram,CN,
13,LNV-EI38-20250414,EI38_cutoff_remind_SSP2-Base_2040_baseline,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '83a69ba32d3894259955a19df412e316')","NMC111 oxide production, for Li-ion battery",kilogram,CN,ReCiPe Midpoint (H),photochemical oxidant formation,POFP,"('EI38_cutoff_remind_SSP2-Base_2040_baseline', '29efbc51f88f985a1c665df2bd11a18f')",market for lithium carbonate,kilogram,GLO,0.009519800074519259,13.693210080705951,0.0695220479231008,technosphere,,,1.0,kilogram,CN,
