,Activity,Location,Impact Category,Baseline 2025,Baseline 2040,Baseline Change,Baseline % Change,VSI 2025,VSI 2040,VSI Change,VSI % Change,VSI to baseline change,VSI to baseline change %,SSP,Activity Group,Impact Short
20,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.1675247932798823,0.1633893807508565,-0.0041354125290258,-2.468537610499719,0.1675248260260153,0.1599554735626109,-0.0075693524634044,-4.518346708940285,-0.0034339071882455996,-2.0,SSP1,Nickel,photochemical oxidant formation
21,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'human toxicity', 'HTPinf')",43.3351717064642,42.72067236346172,-0.6144993430024783,-1.4180152490564955,43.33518090121574,42.69694696291311,-0.6382339383026334,-1.4727847560103946,-0.023725400548613607,-0.1,SSP1,Nickel,human toxicity
22,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'marine eutrophication', 'MEP')",0.0553824784690473,0.0538417659583547,-0.001540712510692599,-2.7819493696976516,0.0553825044724282,0.05384173416312,-0.001540770309308201,-2.7820524260965174,-3.179523470203671e-08,-0.0,SSP1,Nickel,marine eutrophication
23,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'climate change', 'GWP100')",4.566892828020622,3.0407687091212665,-1.5261241188993555,-33.417121363910056,4.566903368074624,3.040385664955257,-1.5265177031193669,-33.425662425674155,-0.00038304416600931646,-0.0,SSP1,Nickel,climate change
24,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'particulate matter formation', 'PMFP')",0.053232101931861,0.049878437942111,-0.003353663989750004,-6.300078088298699,0.0532321241841459,0.0413926444489555,-0.011839479735190402,-22.24123105483089,-0.008485793493155501,-15.9,SSP1,Nickel,particulate matter formation
25,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'agricultural land occupation', 'ALOP')",0.1779952942265822,0.3477384916781513,0.1697431974515691,95.36386801074165,0.1779993082064644,0.3477434091317258,0.1697441009252614,95.36222507582578,4.91745357450446e-06,-0.0,SSP1,Nickel,agricultural land occupation
26,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater eutrophication', 'FEP')",0.01003683990869,0.0091891798654996,-0.000847660043190401,-8.445487333682468,0.0100368415565516,0.0091891829737792,-0.0008476585827723992,-8.445471396518018,3.1082796007192437e-09,0.0,SSP1,Nickel,freshwater eutrophication
27,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'metal depletion', 'MDP')",19.61496956289984,19.628161445156287,0.013191882256446519,0.06725415613898234,19.614970046707157,19.62816287894269,0.013192832235532137,0.06725899761313615,1.43378640160563e-06,0.0,SSP1,Nickel,metal depletion
28,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial acidification', 'TAP100')",0.1929469290995281,0.1800068241987363,-0.01294010490079181,-6.706561727197482,0.1929469860103057,0.1376566075983273,-0.0552903784119784,-28.655735730966654,-0.042350216600408996,-21.9,SSP1,Nickel,terrestrial acidification
29,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'water depletion', 'WDP')",0.0870274210746966,0.0832341187288042,-0.0037933023458924103,-4.358743829300166,0.0870276670876062,0.0832343569632365,-0.003793310124369703,-4.358740445783956,2.3823443230652774e-07,0.0,SSP1,Nickel,water depletion
30,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'urban land occupation', 'ULOP')",0.3317568930771312,0.341448300738926,0.009691407661794826,2.921237768989367,0.3317596418146711,0.3414504640856223,0.009690822270951194,2.9210371152874344,2.1633466962822645e-06,-0.0,SSP1,Nickel,urban land occupation
31,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'ionising radiation', 'IRP_HE')",0.2180541069081468,0.1354837212078307,-0.0825703857003161,-37.86692526506648,0.2180539525120801,0.1354841859335383,-0.08256976657854179,-37.86666814671358,4.6472570761069143e-07,0.0,SSP1,Nickel,ionising radiation
32,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'fossil depletion', 'FDP')",1.3696429898166431,1.0072086497271973,-0.36243434008944586,-26.461957078170105,1.3696459598168942,1.0072119397315005,-0.3624340200853937,-26.461876332906275,3.2900043032135784e-06,0.0,SSP1,Nickel,fossil depletion
33,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'freshwater ecotoxicity', 'FETPinf')",3.4611017255304377,3.4562217474473607,-0.004879978083077052,-0.14099493369641314,3.4611019073502103,3.453625447554563,-0.007476459795647372,-0.21601385904789164,-0.0025962998927977488,-0.1,SSP1,Nickel,freshwater ecotoxicity
34,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'marine ecotoxicity', 'METPinf')",2.995895547366597,2.9897738353254883,-0.006121712041108562,-0.20433663137853952,2.995895853908816,2.989322582070078,-0.006573271838738126,-0.21940922379400546,-0.00045125325541039985,-0.0,SSP1,Nickel,marine ecotoxicity
35,"platinum group metal, mine and concentration operations",ZA,"('ReCiPe Midpoint (H)', 'ozone depletion', 'ODPinf')",2.948448288098484e-07,2.718063178962464e-07,-2.303851091360203e-08,-7.813774793540654,2.94848553065316e-07,2.7180982318809e-07,-2.3038729877225988e-08,-7.813750360213692,3.505291843622661e-12,0.0,SSP1,Nickel,ozone depletion
36,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'terrestrial ecotoxicity', 'TETPinf')",0.024955896283042,0.0261492653491053,0.0011933690660633003,4.78191226846145,0.024956460592205,0.0260370653871781,0.0010806047949731001,4.3299601358961155,-0.00011219996192720141,-0.5,SSP1,Nickel,terrestrial ecotoxicity
37,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'natural land transformation', 'NLTP')",0.0549403024716401,0.0543113562467239,-0.0006289462249161951,-1.1447811472112914,0.0549402738976629,0.0543113439309901,-0.0006289299666727977,-1.1447521500244136,-1.2315733800838391e-08,0.0,SSP1,Nickel,natural land transformation
38,"platinum group metal, extraction and refinery operations",ZA,"('ReCiPe Midpoint (H)', 'photochemical oxidant formation', 'POFP')",0.7637137456686173,0.7311545260058679,-0.03255921966274933,-4.2632753236940015,0.7637139558852529,0.7311429359327041,-0.03257101995254885,-4.264819269250411,-1.1590073163869619e-05,-0.0,SSP1,Nickel,photochemical oxidant formation
